"filename", "language", "Handlebars", "JSON", "Markdown", "JavaScript", "SCSS", "CSS", "XML", "comment", "blank", "total"
"e:\FoundryVTT\Launcher\Data\systems\newedo\README.md", "Markdown", 0, 0, 7, 0, 0, 0, 0, 0, 6, 13
"e:\FoundryVTT\Launcher\Data\systems\newedo\css\newedo.css", "CSS", 0, 0, 0, 0, 0, 474, 0, 5, 54, 533
"e:\FoundryVTT\Launcher\Data\systems\newedo\css\newedo.scss", "SCSS", 0, 0, 0, 0, 22, 0, 0, 4, 8, 34
"e:\FoundryVTT\Launcher\Data\systems\newedo\css\scss\components\_bar.scss", "SCSS", 0, 0, 0, 0, 42, 0, 0, 1, 4, 47
"e:\FoundryVTT\Launcher\Data\systems\newedo\css\scss\components\_effects.scss", "SCSS", 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
"e:\FoundryVTT\Launcher\Data\systems\newedo\css\scss\components\_forms.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"e:\FoundryVTT\Launcher\Data\systems\newedo\css\scss\components\_images.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"e:\FoundryVTT\Launcher\Data\systems\newedo\css\scss\components\_items.scss", "SCSS", 0, 0, 0, 0, 110, 0, 0, 14, 20, 144
"e:\FoundryVTT\Launcher\Data\systems\newedo\css\scss\components\_resource.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"e:\FoundryVTT\Launcher\Data\systems\newedo\css\scss\global\_flex.scss", "SCSS", 0, 0, 0, 0, 59, 0, 0, 2, 15, 76
"e:\FoundryVTT\Launcher\Data\systems\newedo\css\scss\global\_grid.scss", "SCSS", 0, 0, 0, 0, 71, 0, 0, 2, 13, 86
"e:\FoundryVTT\Launcher\Data\systems\newedo\css\scss\global\_sheet.scss", "SCSS", 0, 0, 0, 0, 18, 0, 0, 3, 2, 23
"e:\FoundryVTT\Launcher\Data\systems\newedo\css\scss\global\_window.scss", "SCSS", 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"e:\FoundryVTT\Launcher\Data\systems\newedo\css\scss\newedo\_character.scss", "SCSS", 0, 0, 0, 0, 52, 0, 0, 2, 11, 65
"e:\FoundryVTT\Launcher\Data\systems\newedo\css\scss\newedo\_items.scss", "SCSS", 0, 0, 0, 0, 51, 0, 0, 1, 6, 58
"e:\FoundryVTT\Launcher\Data\systems\newedo\css\scss\newedo\_npc.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\FoundryVTT\Launcher\Data\systems\newedo\css\scss\utils\_colors.scss", "SCSS", 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"e:\FoundryVTT\Launcher\Data\systems\newedo\css\scss\utils\_mixins.scss", "SCSS", 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"e:\FoundryVTT\Launcher\Data\systems\newedo\css\scss\utils\_typography.scss", "SCSS", 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"e:\FoundryVTT\Launcher\Data\systems\newedo\css\scss\utils\_variables.scss", "SCSS", 0, 0, 0, 0, 12, 0, 0, 1, 8, 21
"e:\FoundryVTT\Launcher\Data\systems\newedo\icons\cancel.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
